index,image,clean,valid_pixels,hazy_l1,hazy_mse,hazy_psnr,hazy_ssim,dehaze_l1,dehaze_mse,dehaze_psnr,dehaze_ssim,delta_l1,delta_mse,delta_psnr,delta_ssim
1462,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\005877.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\005877.jpg,272640,0.215204656124115,0.06602125614881516,11.803162168534957,0.6519962151845297,0.15095439553260803,0.03883590176701546,14.107666061038358,0.4097935954729716,-0.06425026059150696,-0.027185354381799698,2.3045038925034014,-0.24220261971155804
1463,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\005878.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\005878.jpg,272000,0.169819638133049,0.0377635732293129,14.229269190256431,0.8000668883323669,0.1353663206100464,0.032708246260881424,14.853427410978915,0.43305037419001263,-0.034453317523002625,-0.005055326968431473,0.6241582207224834,-0.3670165141423543
1464,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\005879.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\005879.jpg,307200,0.1739581823348999,0.04294079914689064,13.671298774159485,0.7685192823410034,0.17490237951278687,0.045293211936950684,13.439668805307189,0.6230442921320597,0.0009441971778869629,0.0023524127900600433,-0.23162996885229603,-0.14547499020894372
1465,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\005894.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\005894.jpg,273920,0.1790502965450287,0.047968652099370956,13.190424848701426,0.7419798771540324,0.1705843210220337,0.045190975069999695,13.449482879462536,0.4325689772764842,-0.008465975522994995,-0.0027776770293712616,0.25905803076111056,-0.30941089987754816
1466,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\005897.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\005897.jpg,303360,0.1647912710905075,0.04055832326412201,13.91920007624216,0.799453616142273,0.1312655359506607,0.029260557144880295,15.337174088107247,0.49493442972501117,-0.0335257351398468,-0.011297766119241714,1.4179740118650876,-0.3045191864172618
1467,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\005906.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\005906.jpg,307200,0.3504730463027954,0.13749106228351593,8.617255325763397,0.27690596630175907,0.22344809770584106,0.0673309788107872,11.717850720160312,0.2652740329504013,-0.12702494859695435,-0.07016008347272873,3.1005953943969153,-0.01163193335135776
1468,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\005912.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\005912.jpg,272640,0.05256006494164467,0.007764935493469238,21.098621477843245,0.9503679076830546,0.2666007876396179,0.08173282444477081,10.876034928885701,0.7300257086753845,0.21404072269797325,0.07396788895130157,-10.222586548957544,-0.22034219900767005
1469,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\005914.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\005914.jpg,307200,0.19494746625423431,0.05708668753504753,12.434651562749186,0.7087433338165283,0.1692531555891037,0.043886084109544754,13.576731688813293,0.3490360180536906,-0.025694310665130615,-0.013200603425502777,1.1420801260641067,-0.3597073157628377
1470,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\005917.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\005917.jpg,307200,0.1840096414089203,0.0418643057346344,13.781561066082585,0.8092006842295328,0.1313267946243286,0.03182423487305641,14.972420289752977,0.5140678485234579,-0.052682846784591675,-0.010040070861577988,1.190859223670392,-0.29513283570607496
1471,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\005919.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\005919.jpg,289920,0.18989892303943634,0.05077654868364334,12.943368217487883,0.7567632993062338,0.16490182280540466,0.0454377681016922,13.42583009271616,0.39275336265563965,-0.024997100234031677,-0.005338780581951141,0.4824618752282763,-0.3640099366505941
1472,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\005928.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\005928.jpg,307200,0.2019219994544983,0.05448383465409279,12.637323337218216,0.7381498217582703,0.14104311168193817,0.03419337421655655,14.660580407264954,0.291302611430486,-0.06087888777256012,-0.02029046043753624,2.0232570700467374,-0.44684721032778424
1473,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\005940.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\005940.jpg,306560,0.22296875715255737,0.06477846950292587,11.885693171206235,0.6941215395927429,0.1347510665655136,0.030918745324015617,15.097781379720951,0.38869336247444153,-0.08821769058704376,-0.033859724178910255,3.212088208514716,-0.3054281771183014
1474,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\005952.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\005952.jpg,307200,0.15519841015338898,0.035654690116643906,14.478833337559342,0.7987169623374939,0.15276823937892914,0.039370015263557434,14.048344168359456,0.4997758666674296,-0.002430170774459839,0.0037153251469135284,-0.4304891691998858,-0.29894109567006427
1475,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\005954.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\005954.jpg,307200,0.315141499042511,0.12344085425138474,9.085410814735955,0.32299691438674927,0.24743995070457458,0.08281782269477844,10.818761914148165,0.26596325139204663,-0.0677015483379364,-0.04062303155660629,1.7333510994122108,-0.05703366299470264
1476,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\005956.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\005956.jpg,297600,0.22645418345928192,0.06285689026117325,12.016471087753267,0.6835055351257324,0.1267961710691452,0.02928849868476391,15.333028894871719,0.330260028441747,-0.09965801239013672,-0.03356839157640934,3.3165578071184516,-0.3532455066839854
1477,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\005963.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\005963.jpg,307200,0.22653035819530487,0.06687991321086884,11.747042991465701,0.6724488337834676,0.15446697175502777,0.04168393462896347,13.800312938592826,0.32200650374094647,-0.0720633864402771,-0.025195978581905365,2.0532699471271254,-0.3504423300425212
1478,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\005968.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\005968.jpg,272640,0.22481201589107513,0.07783645391464233,11.088169579450419,0.6356796026229858,0.20320932567119598,0.06184756010770798,12.086774286566857,0.4572816689809163,-0.02160269021987915,-0.015988893806934357,0.9986047071164386,-0.17839793364206952
1479,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\005970.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\005970.jpg,272640,0.1460673063993454,0.03447014093399048,14.625569409399128,0.8168704112370809,0.19936926662921906,0.05632202327251434,12.493217522980224,0.6317302385965983,0.05330196022987366,0.021851882338523865,-2.1323518864189044,-0.18514017264048266
1480,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\005975.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\005975.jpg,272640,0.1768134981393814,0.0424409881234169,13.722145132826732,0.8222944339116415,0.17584891617298126,0.04737529158592224,13.2444810401559,0.5837738315264384,-0.0009645819664001465,0.004934303462505341,-0.47766409267083176,-0.23852060238520312
1481,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\005979.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\005979.jpg,272000,0.26236692070961,0.08557368069887161,10.676597877158434,0.5860974391301473,0.14613889157772064,0.037701819092035294,14.23637694818779,0.4112920860449473,-0.11622802913188934,-0.04787186160683632,3.5597790710293555,-0.1748053530852
1482,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\005981.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\005981.jpg,307200,0.20032146573066711,0.0517139658331871,12.863921558379408,0.713040312131246,0.13195328414440155,0.0284288227558136,15.462411241730745,0.4165303309758504,-0.06836818158626556,-0.023285143077373505,2.598489683351337,-0.29650998115539556
