                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,      train/dehaze_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,        val/dehaze_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.83115,                0.89877,                 1.1697,                0.00754,                0.70166,                0.62442,                0.67033,                0.45582,                 1.1447,                 1.1859,                 1.3836,                      0,               0.001585,               0.001585,               0.001585
                     87,                0.84267,                0.92366,                 1.1791,                0.00756,                0.69833,                0.62434,                0.67067,                0.45545,                  1.148,                 1.2001,                 1.3905,                      0,               0.001486,               0.001486,               0.001486
                     88,                0.81632,                0.88713,                 1.1609,                 0.0076,                0.70898,                0.61914,                0.67354,                0.45585,                 1.1488,                  1.187,                 1.3828,                      0,               0.001387,               0.001387,               0.001387
                     89,                0.80605,                0.88022,                 1.1561,                0.00761,                0.70274,                  0.615,                0.67523,                0.45765,                 1.1457,                 1.1822,                  1.383,                      0,               0.001288,               0.001288,               0.001288
                     90,                0.75675,                0.72873,                 1.1242,                0.00644,                0.67593,                0.62636,                0.66282,                0.45282,                 1.1394,                 1.1985,                  1.379,                      0,               0.001189,               0.001189,               0.001189
                     91,                0.73816,                0.68583,                 1.0993,                0.00639,                 0.7054,                0.61027,                0.65948,                0.44686,                 1.1535,                 1.2146,                 1.3939,                      0,                0.00109,                0.00109,                0.00109
                     92,                0.72508,                0.66686,                 1.0949,                0.00632,                0.71984,                0.60275,                0.66693,                0.45131,                 1.1519,                 1.2064,                 1.3938,                      0,               0.000991,               0.000991,               0.000991
                     93,                0.71483,                 0.6625,                 1.0876,                0.00635,                0.71858,                0.60866,                0.66907,                0.45459,                 1.1483,                 1.2025,                  1.396,                      0,               0.000892,               0.000892,               0.000892
                     94,                 0.7211,                0.65789,                 1.0975,                0.00627,                0.71598,                0.61523,                0.67107,                0.45664,                 1.1438,                 1.1947,                 1.3896,                      0,               0.000793,               0.000793,               0.000793
                     95,                0.70451,                0.64653,                  1.088,                0.00625,                0.70372,                0.62548,                0.67073,                0.45717,                 1.1345,                 1.1904,                 1.3848,                      0,               0.000694,               0.000694,               0.000694
                     96,                0.69897,                0.63319,                 1.0758,                0.00621,                0.71341,                0.61169,                0.66953,                0.45622,                 1.1455,                 1.1916,                  1.395,                      0,               0.000595,               0.000595,               0.000595
                     97,                 0.6939,                 0.6272,                 1.0753,                0.00615,                0.73159,                0.60593,                0.67138,                0.45828,                 1.1416,                 1.1893,                 1.3954,                      0,               0.000496,               0.000496,               0.000496
                     98,                0.69705,                0.62528,                 1.0713,                0.00617,                 0.7205,                0.61052,                0.67043,                0.45686,                 1.1378,                 1.1974,                 1.3877,                      0,               0.000397,               0.000397,               0.000397
                     99,                0.68687,                0.61356,                 1.0643,                 0.0061,                0.72047,                0.61049,                0.67203,                0.45793,                 1.1369,                 1.1965,                 1.3901,                      0,               0.000298,               0.000298,               0.000298
